Gene_set,Group,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,,generation of neurons (GO:0048699),78/202,7.13E-10,3.06E-07,0,0,2.546281522,53.6278626,MYT1L;PCSK9;SIX1;OTP;CX3CL1;RNF112;SHH;FGF8;HEY1;SIX4;HEY2;DNER;SIX3;NRCAM;HES6;EMX2;WNT5B;WNT5A;WNT9B;OLIG1;BHLHA15;WNT9A;OLIG2;EML1;TUBB2B;TUBB2A;SNPH;DDIT4;ANOS1;LMX1B;MET;ASTN1;YAP1;CX3CR1;GPM6A;BRSK2;SEMA3A;WNT8A;BHLHE22;BHLHE23;DLL1;ATOH7;WNT6;RELN;ATOH8;NOTO;HES1;HES2;WNT3;HES5;MARK1;IRX1;NTRK2;WNT10A;FZD2;MYEF2;GSX1;FZD4;WNT3A;IRX6;FZD8;WNT7A;DCDC2;SMARCA1;VAX2;PTPRD;LHX3;ARTN;TAFA3;LHX1;LHX6;LHX5;FGF13;NEUROG1;LRP12;LHX9;ADGRL3;FGFR1
GO_Biological_Process_2021,,inorganic cation transmembrane transport (GO:0098662),98/274,7.27E-10,3.06E-07,0,0,2.258096081,47.51515347,KCNG1;PKD2L1;SLC4A4;SLC9C1;SLC9C2;SLC8A2;SCN9A;SLC39A2;KCNH2;SLC6A19;SLC6A17;KCNK10;KCNH6;SLC30A2;SLC11A1;KCNK13;SLC30A4;SLC6A12;SLC6A11;KCNK16;SLC9A2;SCNN1G;KCNQ1;KCNQ2;KCNQ3;RHCG;RHCE;KCNE1;CACNA1C;SLC30A10;CACNA1H;CACNA1G;TRPM1;KCNV1;ASIC4;ASIC5;ATP6V0A4;KCNN2;TRPM8;TRPM5;ASIC2;TRPM6;SCN3A;ASIC3;TRPM3;TRPM4;ASIC1;ATP4A;SLC6A7;SLC6A8;TRPV4;NOX5;SCN2A;SCN2B;KCNK7;LRRC38;KCNC3;SLC6A1;SLC6A2;SLC6A3;SLC36A3;TRPC6;TRPC3;TRPC4;ABCC8;ABCC9;SCN4B;ATP6V1B1;SLC24A2;KCNA1;KCNA3;UCP1;KCNA4;KCNA5;ATP1A2;KCNA6;ATP2C2;KCNA7;RHD;SLC25A27;SCN7A;RHBG;KCNJ2;KCNJ4;LRRC26;SLC12A3;KCNJ8;TRPA1;KCNJ12;SLC12A1;KCNJ16;OTOP2;SLC8A3;KCNS3;RHAG;KCNK1;SLC24A5;KCNK4
GO_Biological_Process_2021,ECM organization,extracellular matrix organization (GO:0030198),103/300,3.55E-09,1.38E-06,0,0,2.120216124,41.25043863,VIT;APP;PRSS1;SERPINE1;DMP1;PLOD2;ICAM5;COMP;IBSP;CDH1;KDR;CYP1B1;TNR;PRSS2;POSTN;APLP1;P3H2;NPNT;COL4A3;COL8A2;COL8A1;ADAM8;FBN2;COL17A1;CD151;COL13A1;HTRA1;PDGFA;DPT;KLK2;ADAMTS12;NID1;ADAMTS10;ADAMTS15;FLRT2;ADAMTS18;ELANE;COL1A1;COL5A1;COL5A3;COL20A1;MARCOL;ITGB5;ELN;NCAN;ITGB3;LAMC1;ADAMTS4;ADAMTS5;ADAMTS2;ADAMTS3;ADAMTSL5;ADAMTS1;ADAMTSL3;ADAMTSL2;MMP28;ITGB6;TPSAB1;ADAMTS8;ADAMTS9;FGB;VWF;COL25A1;ITGA1;FGG;BGN;MMP8;DCN;ADAMTS20;MMP12;GREM1;VCAN;COL2A1;MMP16;MMP15;MMP23B;PXDN;COL6A1;MATN1;ITGA8;COL21A1;MATN4;LAMA2;COL11A1;LAMA4;LAMA3;COL19A1;THSD4;ACAN;TTR;HAS1;SPP1;COL26A1;GSN;LUM;LAMB2;MFAP5;SMOC2;COL3A1;SMOC1;COL7A1;ST7;TLL2
GO_Biological_Process_2021,Cell migration,neutrophil chemotaxis (GO:0030593),36/70,4.56E-09,1.64E-06,0,0,4.264676203,81.90780983,CCL14;CXCL6;CCL13;CXCL8;CXCL1;CXCL13;CX3CL1;CXCL5;CXCR1;CCL7;CCL4;CCL3;S100A12;CCL2;CCL1;CCL19;CCL18;CCL17;PF4V1;CCL15;CCL25;CCL24;CCL23;CXADR;CCL22;CCL20;PPBP;CXCL10;CXCL11;JAML;SAA1;CD300H;S100A9;S100A8;CCL26;PF4
GO_Biological_Process_2021,Chemokine signaling,chemokine-mediated signaling pathway (GO:0070098),31/56,5.27E-09,1.77E-06,0,0,4.990929705,95.13035557,CCL14;CXCL6;CCL13;FOXC1;CXCL8;CXCL1;CXCL13;CX3CL1;CXCL5;THPO;CCL7;CCL4;CCL3;CCL2;CCL1;CCL19;CCL18;CCL17;PF4V1;CCL15;CCL25;CCL24;CCL23;CCL22;CCL20;PPBP;CXCL10;CXCL11;CXCL12;CCL26;PF4
GO_Biological_Process_2021,Cell migration,neutrophil migration (GO:1990266),38/77,7.62E-09,2.40E-06,0,0,3.92522554,73.37216987,CCL14;CXCL6;CCL13;CXCL8;CXCL1;CXCL13;CX3CL1;CXCL5;CXCR1;CCL7;CCL4;CCL3;S100A12;CCL2;CCL1;CCL19;CCL18;CCL17;PF4V1;CD177;CCL15;CCL25;CCL24;CCL23;CXADR;CCL22;CCL20;PPBP;CXCL10;CXCL11;JAML;SAA1;CD300H;S100A9;S100A8;CCL26;PF4;UMODL1
GO_Biological_Process_2021,Cell proliferation & survival,positive regulation of MAPK cascade (GO:0043410),95/274,8.13E-09,2.41E-06,0,0,2.15022282,40.05249996,APP;ARHGAP8;FLT1;IL26;DIRAS1;FLT4;ADRA1D;HTR2A;FGF1;ADRA1B;TNF;CX3CL1;ROBO1;IGF1R;SOX2;GRM4;BMPER;KDR;FFAR4;TNFSF11;TNFAIP8L3;CCR7;CCN2;PDGFRB;FGB;PDGFRA;EPHA8;FGG;NPNT;ADRA2C;MMP8;ADRA2B;ADRA2A;ADCYAP1;ADRB3;OR2AT4;CHI3L1;IAPP;ADAM8;ROR1;ROR2;S100A7;CCL14;CCL13;ALOX15;LPAR1;PDGFA;ALOX12B;PLA2G5;NOD2;SLC30A10;EGFR;LILRA5;THPO;CCL7;ERBB4;CCL4;CCL3;S100A12;CCL2;CCL1;APOE;CCL19;ALKAL1;CCL18;CCL17;ELANE;CCL15;CCL25;NTRK1;CCL24;NTRK2;CCL23;CCL22;CCL20;GDF15;CAV2;NTRK3;IGF2;DAB2IP;IGF1;MT3;SCIMP;MARCO;EPGN;BMP2;IL6;LEP;FGF18;CD24;FERMT2;FGFR2;CCL26;FGFR1;FGF10
GO_Biological_Process_2021,Cell migration,lymphocyte chemotaxis (GO:0048247),26/44,1.42E-08,3.99E-06,0,0,5.809036515,104.9564207,CCL14;CCL13;CXCL13;CX3CL1;CCL7;CCL4;CCL3;CCL2;CCL1;CCL19;CCL18;CCL17;CCL15;CCL25;CCL24;CCL23;CCL22;CCL20;DEFA1;MSMP;CXCL10;CH25H;CXCL11;SAA1;ADAM8;CCL26
GO_Biological_Process_2021,,granulocyte chemotaxis (GO:0071621),36/73,1.92E-08,5.11E-06,0,0,3.918155289,69.60904334,CCL14;CXCL6;CCL13;CXCL8;CXCL1;CXCL13;CX3CL1;CXCL5;CXCR1;CCL7;CCL4;CCL3;S100A12;CCL2;CCL1;CCL19;CCL18;CCL17;PF4V1;CCL15;CCL25;CCL24;CCL23;CXADR;CCL22;CCL20;PPBP;CXCL10;CXCL11;JAML;SAA1;CD300H;S100A9;S100A8;CCL26;PF4
GO_Biological_Process_2021,Cell-cell adhesion,cell junction assembly (GO:0034329),45/102,2.74E-08,6.90E-06,0,0,3.182447269,55.4208803,GPM6A;ACHE;NLGN1;NLGN2;CTNND2;NRXN1;CDH9;CDH7;CDH6;CDH5;CDH2;CDH1;FLRT3;CDH20;SLITRK1;CDH22;DNER;SLITRK6;NRCAM;FLNC;DRD2;LIM2;BDNF;PCDHB11;POU4F1;GRHL2;CLDN5;SDK1;TRPV4;CDH10;CDH11;PCDHB16;PCDHB6;CDHR3;CDH12;PCDHB5;DCHS1;PCDHB4;PKP3;PCDHB9;SDK2;FERMT2;SHANK2;CDH19;ADGRL3
GO_Biological_Process_2021,Cell migration,lymphocyte migration (GO:0072676),24/40,3.39E-08,8.14E-06,0,0,6.030181087,103.7220271,CCL14;CCL25;CCL13;CCL24;CCL23;CCL22;CCL20;MSMP;CX3CL1;ZAP70;CCL7;CCL4;S1PR1;CCL3;SAA1;CCL2;CCL1;ADAM8;CCL19;CCR6;CCL18;CCL17;CCL15;CCL26
GO_Biological_Process_2021,,synapse assembly (GO:0007416),34/69,4.87E-08,1.08E-05,0,0,3.910453137,65.84463229,ACHE;GABRB2;GPM6A;NLGN1;NLGN2;NRXN1;CDH2;CDH1;FLRT3;SLITRK1;DNER;SLITRK6;NRCAM;DRD2;GABRA2;GRID2;BDNF;WNT3A;WNT5A;LGI2;WNT7A;PCDHB11;POU4F1;NPAS4;SDK1;PCDHB16;PCDHB6;PCDHB5;PCDHB4;FGF13;PCDHB9;SHANK2;SDK2;ADGRL3
GO_Biological_Process_2021,,skeletal system development (GO:0001501),61/158,4.94E-08,1.08E-05,0,0,2.53893264,42.71098784,UCMA;HHIP;NCAN;PTH1R;HOXA13;GLI2;COMP;ADAMTS4;GJA1;FGF8;PLS3;PITX1;NKX3-2;TGM2;SOX5;TEAD4;MYOC;AHSG;WNT5A;KIAA1217;RBP4;VCAN;COL2A1;EVC;MMP16;CDH11;CHI3L1;PKDCC;COL13A1;DLX6;CHRD;STC1;TNFRSF11B;COL19A1;DLL3;ACAN;EXTL1;FRZB;BGLAP;SPP2;HES5;GDF10;GDF2;IGF2;GDF3;IGF1;SULF1;TBX4;TBX3;BMP5;SULF2;RFLNA;COL1A1;BMP3;BMP2;ALPL;IL17F;NOTUM;BMPR1B;FGFR2;FGFR1
GO_Biological_Process_2021,Cell-cell adhesion,adherens junction organization (GO:0034332),27/49,5.83E-08,1.23E-05,0,0,4.935656591,82.21643061,RAMP2;CDH9;CDH7;CDH6;CDH5;CDH4;CDH3;CDH2;CDH1;CDH20;CDH22;CADM3;CADM1;CADM2;SMAD7;CDH10;CDH11;CDHR3;CDH12;DCHS1;CDH15;NECTIN4;CDH17;NECTIN3;FERMT2;CDH19;NECTIN1
GO_Biological_Process_2021,,cell-cell junction organization (GO:0045216),38/82,6.59E-08,1.33E-05,0,0,3.478087284,57.51199893,NLGN2;CTNND2;CDH9;CLDN1;CDH7;CDH6;CDH5;CDH4;CDH3;CDH2;CDH1;CDH20;CDH22;CD177;DSP;LIM2;CADM3;CXADR;CADM1;CADM2;CLDN5;SDK1;CDH10;TRPV4;CDH11;CDHR3;CDH12;DSG2;DCHS1;PKP3;CDH15;NECTIN4;CDH17;NECTIN3;SDK2;TJP3;CDH19;NECTIN1
GO_Biological_Process_2021,,axonogenesis (GO:0007409),83/240,7.91E-08,1.48E-05,0,0,2.138268758,34.96648169,ROBO2;SEMA5A;APP;SEMA5B;NRP2;MYPN;GLI2;ROBO1;SHH;KIF5C;KIF5A;TNR;NRTN;NRCAM;NEFH;EPHB3;SEMA6B;EPHA7;UNC5A;EPHA8;DCC;SEMA6D;WNT5A;GFRA1;ANK3;GFRA3;SPTB;PAX2;ENAH;ISL2;DOK5;PARD3;ADGRB1;ANOS1;EZR;DSCAML1;EPHA2;GRB7;SPTBN4;NOTCH3;BRSK2;SHC3;EPHA10;LAMA2;SEMA3D;NRXN1;SEMA3A;LAMA3;SEMA3B;NRXN3;CXCR4;NTN3;SPTA1;EFNB2;RELN;SLITRK2;SLITRK1;GPC1;SLITRK4;SLIT1;SLITRK6;SLITRK5;SLIT3;PLCG1;APBB1;CTNNA2;SLIT2;DRD2;NTNG1;NIBAN2;BDNF;WNT7A;L1CAM;POU4F1;PTK2;CXCL12;EFNA2;DAB1;GDNF;ARTN;CNTN2;CNTN4;FGFR2
GO_Biological_Process_2021,,neuron differentiation (GO:0030182),65/174,7.94E-08,1.48E-05,0,0,2.408204423,39.37010199,FOXA1;ALK;TENM2;ATP8A2;TENM3;TENM4;MYT1L;PCSK9;OTP;RORB;GLI2;RNF112;SHH;FGF8;EMX2;WNT5B;WNT5A;WNT9B;OLIG1;MYO7A;BHLHA15;WNT9A;OLIG2;ISL2;SNPH;DDIT4;ANOS1;LMX1B;MET;BRSK2;WNT8A;BHLHE22;BHLHE23;LRP6;ATOH7;WNT6;ATOH8;NOTO;WNT3;IRX1;NTRK2;WNT10A;FZD2;MYEF2;GSX1;FZD4;WNT3A;IRX6;FZD8;WNT7A;FOXN4;INHBA;SMARCA1;USH2A;VAX2;PHOX2A;PTPRD;LHX3;LHX1;LHX6;LHX5;NEUROG1;VSX1;LHX9;FOXA2
GO_Biological_Process_2021,,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157),24/42,1.25E-07,2.18E-05,0,0,5.359490275,85.18319807,TENM2;NLGN1;CADM3;GRID2;TENM3;CXADR;TENM4;AMIGO3;CADM1;AMIGO2;SELE;SELP;PTPRD;JAML;CEACAM6;CEACAM5;DCHS1;HMCN1;CEACAM8;FAT4;NECTIN4;NECTIN3;CBLN1;NECTIN1
GO_Biological_Process_2021,,monocyte chemotaxis (GO:0002548),24/42,1.25E-07,2.18E-05,0,0,5.359490275,85.18319807,CCL14;CCL25;CCL13;CCL24;CALCA;CCL23;FLT1;CCL22;CCL20;MSMP;CX3CL1;IL6;CCL7;CCL4;CCL3;TNFSF11;CCL2;S100A12;CCL1;CCL19;CCL18;CCL17;CCL15;CCL26
GO_Biological_Process_2021,,sodium ion transmembrane transport (GO:0035725),39/87,1.35E-07,2.26E-05,0,0,3.272153497,51.76817179,SLC24A2;PKD2L1;ATP1A2;SLC5A1;SLC6A1;SLC4A4;SLC6A2;SLC9C1;SLC6A3;SLC9C2;SLC8A2;ASIC4;ASIC5;SCN9A;SCN7A;ASIC2;SCN3A;ASIC3;ASIC1;TRPM4;SLC12A3;SLC6A19;SLC6A17;SLC12A1;SLC6A12;SLC6A11;ATP1B2;SLC9A2;ATP4B;SLC8A3;SCNN1G;ATP4A;SLC6A7;SLC6A8;FXYD2;KCNK1;SCN2A;SCN4B;SCN2B
GO_Biological_Process_2021,,cellular response to chemokine (GO:1990869),30/60,1.96E-07,3.09E-05,0,0,4.022670025,62.12738003,CCL14;CXCL6;CCL13;FOXC1;CXCL8;CXCL1;CXCL13;CX3CL1;CXCL5;CCL7;CCL4;CCL3;CCL2;CCL1;CCL19;CCL18;CCL17;PF4V1;CCL15;CCL25;CCL24;CCL23;CCL22;CCL20;PPBP;CXCL10;CXCL11;CXCL12;CCL26;PF4
GO_Biological_Process_2021,,homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156),30/60,1.96E-07,3.09E-05,0,0,4.022670025,62.12738003,ROBO2;TENM3;AMIGO2;MYPN;ROBO1;TRO;CDH4;CDH2;CDH1;HMCN1;PCDHA7;MPZL2;CADM3;CADM1;L1CAM;IGSF11;SDK1;CEACAM6;CEACAM5;PLXNB3;PCDHB6;CNTN2;DSG2;CNTN4;NECTIN4;CDH17;DSCAML1;NECTIN3;SDK2;NECTIN1
