Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Molecular_Function_2021,potassium channel activity (GO:0005267),38/91,1.7132160064527688e-06,0.00015836237617354056,0,0,2.885840008381511,38.31569675356652,KCNG1;CCT8L2;KCNK7;KCNE1;LRRC38;KCNC3;KCNA1;GRIK3;KCNA3;GRIK4;KCNA4;PKD2L1;KCNA5;GRIK2;KCNA6;KCNA7;AQP1;KCNV1;KCNT1;KCNT2;KCNMB2;KCNMB4;KCNN2;KCNH2;LRRC26;KCNH6;KCNK10;ABCC8;KCNK13;ABCC9;KCNK16;KCNQ1;KCNS3;KCNQ2;KCNMA1;KCNQ3;KCNK1;KCNK4
GO_Molecular_Function_2021,hormone activity (GO:0005179),34/78,1.850388037081292e-06,0.00015836237617354056,0,0,3.108834181451428,41.036969305171695,BMP10;CALCB;SCT;CSH2;CGB7;CSH1;LHB;ASIP;OXT;TRH;PRL;ERFE;NPPB;NPPC;NPY;PENK;HCRT;TSHB;CCL25;FSHB;ADIPOQ;INHBA;IGF1;AGT;POMC;ADCYAP1;PYY;GAL;LEP;GHRH;PNOC;CRH;AVP;VIP
GO_Molecular_Function_2021,transmembrane receptor protein kinase activity (GO:0019199),28/60,2.9047215581285546e-06,0.00022947300309215585,0,0,3.5176233635448138,44.84678888607655,ALK;ACVRL1;FLT1;EPHA10;FLT4;EGFR;IGF1R;ERBB3;ERBB4;KDR;ROS1;EPHB3;PDGFRB;NTRK1;PDGFRA;NTRK2;EPHA7;MUSK;EPHA8;NTRK3;INSRR;ROR1;ROR2;BMPR1B;MET;FGFR2;EPHA2;FGFR1
GO_Molecular_Function_2021,ligand-gated cation channel activity (GO:0099094),34/80,3.696736845790276e-06,0.000271182052901901,0,0,2.97329474445833,37.19014924278954,CHRNA1;CHRNA2;CHRNA4;GRIK3;GRIK4;GRIK2;ASIC4;ASIC5;KCNN2;TRPM8;ASIC2;TRPM5;ASIC3;GRIA3;KCNJ2;ASIC1;TRPM4;KCNH2;KCNJ4;KCNJ5;CHRNB4;KCNJ6;KCNJ8;KCNJ12;HTR3E;SHROOM2;KCNJ15;KCNJ16;HTR3A;HTR3B;GRIN1;SCNN1G;P2RX6;KCNK1
GO_Molecular_Function_2021,sodium channel activity (GO:0005272),20/38,7.835469138053199e-06,0.0005364684536520424,0,0,4.461753210496929,52.45616237048304,GRIK3;SHROOM2;GRIK4;PKD2L1;GRIK2;CACNA1H;CACNA1G;CACNA1I;SCNN1G;ASIC4;ASIC5;SCN9A;SCN7A;ASIC2;KCNK1;SCN2A;SCN3A;ASIC3;SCN4B;ASIC1
GO_Molecular_Function_2021,growth factor activity (GO:0008083),35/87,1.1687162217291058e-05,0.0007501697248223697,0,0,2.7072460956445825,30.746246875401056,CSF1;CSH2;CSH1;PDGFA;CXCL1;FGF1;AREG;FGF5;FGF8;FGF9;THPO;FGF20;IL12B;NRTN;FGF23;FGF22;IL10;BDNF;IGF2;NRG1;VEGFD;INHBA;DKK1;AGT;EREG;BTC;FGF16;IL6;EPGN;GDNF;IL7;ARTN;CLCF1;FGF18;FGF10
GO_Molecular_Function_2021,CCR chemokine receptor binding (GO:0048020),21/42,1.324543060945686e-05,0.0008001798374065998,0,0,4.015833123900477,45.10526709684769,CCL14;CCL25;CCL13;CCL24;CCL23;CCL22;CCL20;DEFB1;CXCL13;MSMP;CX3CL1;CCL7;CCL4;CCL3;CCL2;CCL1;CCL19;CCL18;CCL17;CCL15;CCL26
GO_Molecular_Function_2021,anion channel activity (GO:0005253),29/68,1.7315109091473627e-05,0.0009879231687190786,0,0,2.9887776120463103,32.76875175110675,GABRB2;CCT8L2;GABRB1;CLIC3;GABRR3;GLRA1;GABRR1;GLRA2;CLCA2;GABRE;GABRD;SLC17A3;CLCA4;GABRA2;GABRQ;GABRP;GABRA4;ANO7;ANO4;ANO5;ANO2;GABRG1;ANO1;CLDN4;CLCN4;FXYD1;SLC26A7;SLC26A9;CFTR
GO_Molecular_Function_2021,cation channel activity (GO:0005261),37/98,3.563330550334296e-05,0.0019260739343122,0,0,2.439545302242464,24.986383616525973,KCNG1;RYR1;SLC24A2;RYR2;KCNK7;TMEM63C;KCNA1;PKD1L1;PKD2L1;PKD1L3;CACNA1E;AQP1;TRPM1;PIEZO2;TRPM8;TRPM5;TRPM6;ASIC3;TRPM3;TRPM4;TRPC6;KCNK10;TRPC3;TRPA1;ABCC8;KCNK16;ABCC9;CALHM3;OTOP2;GRIN1;SCNN1G;ANO1;TRPV4;NOX5;KCNK1;SLC24A5;KCNK4
GO_Molecular_Function_2021,steroid hydroxylase activity (GO:0008395),18/36,5.469519890195097e-05,0.0028085984636151,0,0,4.013561024610748,39.38802279209162,CYP2J2;CYP3A43;CYP46A1;CYP2C19;CYP2C18;CYP8B1;CYP39A1;CYP27A1;CYP2C9;CH25H;CYP2W1;CYP2B6;CYP11A1;CYP21A2;CYP11B1;CYP1A2;CYP1A1;CYP1B1
GO_Molecular_Function_2021,sequence-specific DNA binding (GO:0043565),183/707,6.626318255140178e-05,0.003240585165728,0,0,1.4159775372129906,13.624360467319558,FOXA1;PRDM5;RORC;MYRFL;RORB;IKZF3;HOXA13;DUX4;NR3C2;FOXQ1;SOX2;SOX18;MAEL;PITX1;MNX1;PKNOX2;HES6;NKX6-3;NKX6-2;MSX2;OSR1;BHLHA15;OVOL1;POU3F1;FOXP2;POU3F3;ISL2;ARGFX;HOXB9;ZSCAN23;ZNF711;HOXB1;LMX1B;HOXB8;HOXB7;DLX3;DLX6;ARX;GATA6;GATA5;BHLHE22;BHLHE23;HOXB13;GATA1;GLIS1;SCRT2;TERT;ZNF704;ZSCAN10;ALX3;HOXC4;ALX1;HOXC9;ZNF423;MSC;PPARGC1A;HOXC8;TFAP2A;EGR1;TFAP2C;EGR3;EGR4;BCL11B;FOXF2;FOXF1;ESRRG;NR2F2;POU2F3;SOX30;ISX;PHOX2A;NR4A1;LIN28B;MAFB;LHX3;TLX2;LHX1;DMRTC2;ZSCAN4;LHX6;LHX5;SP9;LHX9;VSX1;ZSCAN1;MESP2;BARHL1;FOXE3;CSRNP3;THRB;ONECUT2;FOXE1;ONECUT3;ONECUT1;SIX1;TFCP2L1;NR2E1;HOXC12;HOXC11;MEOX1;GLI2;DMBX1;HEY1;SIX4;HNF4A;SIX2;HEY2;ZIC1;SIX3;ZNF385D;TEAD1;NKX3-2;NKX3-1;VENTX;KLF11;EMX2;KLF12;POU1F1;PROP1;FOXD1;MSGN1;FOXL2;ETV1;FOXL1;PROX1;OLIG2;ZFY;KLF14;KLF15;PAX2;MMP12;ETV7;NR5A2;PAX9;PPARG;IRF6;FOXC2;FOXC1;HLF;MYRF;CEBPD;LEF1;BARX2;TBXT;HSFY1;ATOH7;CUX2;GSC;TBX20;NOTO;HES1;HES2;HES5;SPDEF;DRGX;IRX1;ARNT2;FOXB1;GSX1;DMRT1;CDX2;GSX2;NR1H4;UNCX;GRHL3;LBX1;MEIS3;POU4F1;VAX2;GRHL2;TBX3;TBX18;POU4F3;TBX2;FOXR1;TBX15;GFI1B;DPRX;NFIB;BCL6B;NEUROG1;MIXL1;FOXA2
GO_Molecular_Function_2021,CXCR chemokine receptor binding (GO:0045236),11/17,7.498411076046968e-05,0.0035003946250455,0,0,7.350798027910086,69.81960213307514,CXCL6;CXCL10;CXCL11;CXCL8;CXCL12;CXCL1;PPBP;CXCL13;CXCL5;PF4V1;PF4
GO_Molecular_Function_2021,G protein-coupled receptor binding (GO:0001664),48/143,9.39481730753467e-05,0.004194990162973,0,0,2.0334540805454933,18.85574645941,PRKN;RTP5;CALCA;CALCB;SCT;RTP1;FPR1;WNT8A;OXT;NTS;LRP6;WNT6;NPW;NPY;PENK;S1PR1;PROK2;GNAT1;RSPO1;CCL19;GPHA2;PROK1;WNT3;INSL5;ARHGEF11;CCL25;WNT10A;PACRG;WNT5B;HOMER1;MYOC;WNT3A;PTCH1;WNT5A;WNT9B;WNT7A;WNT9A;POMC;MARCO;PYY;SFRP1;GPRC5B;CXCL12;TAFA5;PNOC;AGTR1;SAG;SAA1
GO_Molecular_Function_2021,calcium-dependent phospholipid binding (GO:0005544),22/50,9.996883543103388e-05,0.0042778330828196,0,0,3.154708037060978,29.0569180999316,SYT5;SYT4;PLA2G4F;SYT3;FER1L5;PLA2G4D;SYT1;CPNE4;ANXA3;PLA2G4E;CPNE6;ANXA5;DYSF;DOC2B;SYT9;SYT8;SYT7;SYT6;RPH3A;PCLO;SYT12;SYT10
GO_Molecular_Function_2021,sodium-independent organic anion transmembrane transporter activity (GO:0015347),10/15,0.00011244171319163874,0.0046191055779125,0,0,8.017543859649123,72.90413224604237,SLCO1C1;SLCO1B1;SLCO2B1;SLCO2A1;SLCO1B3;SLCO1A2;SLCO5A1;SLCO6A1;SLC22A9;SLC22A11
GO_Molecular_Function_2021,neuropeptide hormone activity (GO:0005184),14/26,0.00013332513181631912,0.0052663427067446,0,0,4.679545074427161,41.754269550453394,CALCB;ASIP;OXT;PYY;ADCYAP1;GAL;NPY;GHRH;PENK;PNOC;CRH;AVP;HCRT;VIP
GO_Molecular_Function_2021,voltage-gated potassium channel activity (GO:0005249),31/82,0.0001442249597298408,0.0054858901349091,0,0,2.4425523295738047,21.602265617698677,KCNG1;KCNE1;LRRC38;KCNC3;KCNA1;KCNA3;KCNA4;KCNA5;KCNA6;KCNA7;KCNV1;KCNT1;KCNT2;KCNN2;KCNJ2;KCNH2;KCNJ4;LRRC26;KCNJ5;KCNJ6;KCNH6;KCNJ8;KCNJ12;KCNJ15;KCNJ16;KCNQ1;KCNS3;KCNQ2;KCNMA1;KCNQ3;KCNK1
GO_Molecular_Function_2021,platelet-derived growth factor binding (GO:0048407),8/11,0.0002341245942215006,0.0084864996890737,0,0,10.686038744154976,89.33161998300484,COL1A1;PDGFRB;PDGFRA;COL3A1;COL2A1;COL5A1;COL6A1;PDGFA
GO_Molecular_Function_2021,ion channel activity (GO:0005216),31/84,0.0002396382580166882,0.0084864996890737,0,0,2.350085806509885,19.59120838604037,CHRNA1;CCT8L2;GABRB1;CHRNA4;GRIK3;GRIK4;PKD2L1;GRIK2;PKD1L3;TRPM1;ASIC4;PIEZO2;TRPM8;TRPM5;ASIC3;TRPM6;GRIA3;TRPM3;TRPM4;TMC1;CHRNB4;GRID2;TRPC6;ABCC9;TMC7;CALHM3;GRIN1;SCNN1G;TRPV4;ZACN;CNGB1
GO_Molecular_Function_2021,cytokine receptor activity (GO:0004896),32/88,0.0002621099237048449,0.0089728963881625,0,0,2.296082949308756,18.93521422353835,CX3CR1;CNTFR;IL23R;EBI3;IL5RA;IL22RA2;GHR;IL1RL1;IL1RL2;CXCR1;CCR8;IL12B;CCR6;CCR5;IL13RA2;CCR3;GPR17;IL1R1;FZD4;IL1R2;LIFR;GFRA1;IFNLR1;IL17RE;IL17RD;GFRA3;EPOR;IL17REL;IL2RA;IL7R;IL9R;CRLF2
GO_Molecular_Function_2021,arachidonic acid monooxygenase activity (GO:0008391),11/19,0.00030719611979749574,0.0098590754697508,0,0,5.512409125094009,44.58449833591706,CYP2J2;CYP2C9;CYP2B6;CYP4F2;CYP4A22;CYP4A11;CYP1A1;CYP4F11;CYP2C19;CYP4F12;CYP2C18
GO_Molecular_Function_2021,GABA-A receptor activity (GO:0004890),11/19,0.00030719611979749574,0.0098590754697508,0,0,5.512409125094009,44.58449833591706,GABRA2;GABRQ;GABRR3;GABRB2;GABRP;GABRB1;GABRR1;GABRA4;GABRE;GABRD;GABRG1
GO_Molecular_Function_2021,hemoglobin alpha binding (GO:0031721),5/5,0.0003193504857525834,0.0099385742081182,0,0,80000.0,643937.7085513076,HBG2;HBG1;HBE1;HBB;HBD
GO_Molecular_Function_2021,GABA receptor activity (GO:0016917),12/22,0.0003462865793326299,0.0104598916757238,0,0,4.811434302908726,38.33868185041745,GABRA2;GABRQ;GABRR3;GABRB2;GABRP;GABRB1;GABBR1;GABRR1;GABRA4;GABRE;GABRD;GABRG1
GO_Molecular_Function_2021,inward rectifier potassium channel activity (GO:0005242),13/25,0.00036562020381686365,0.0107283414091405,0,0,4.344201989800184,34.37964727901567,KCNH2;KCNJ4;KCNJ5;KCNJ6;KCNJ8;KCNJ12;ABCC8;KCNJ15;KCNJ16;ABCC9;KCNN2;KCNK1;KCNJ2
GO_Molecular_Function_2021,voltage-gated cation channel activity (GO:0022843),34/97,0.0003800387942523802,0.0108416622693665,0,0,2.1686638010389903,17.078741884296058,KCNG1;RYR1;CATSPER1;KCNE1;LRRC38;KCNC3;KCNA1;CACNA1B;KCNA3;KCNA4;KCNA5;CACNA1C;KCNA6;KCNA7;CACNA1E;CACNA1I;KCNV1;CACNG8;NCS1;CACNG4;CACNG5;KCNH2;TMC1;LRRC26;KCNH6;CACNA2D1;CACNA2D3;GRIN1;KCNQ1;KCNS3;KCNQ2;KCNMA1;KCNQ3;KCNK1
GO_Molecular_Function_2021,inorganic cation transmembrane transporter activity (GO:0022890),21/51,0.0004352474560177929,0.0117811622170635,0,0,2.8094998743402866,21.74439349555949,TRPC6;PKD2L1;ABCC9;PKD1L3;CALHM3;AQP1;RHD;TRPM1;TRPV4;PIEZO2;RHAG;TRPM8;RHCG;TRPM5;RHBG;ASIC3;TRPM6;RHCE;TRPM3;ATP6V1B1;TRPM4
GO_Molecular_Function_2021,double-stranded DNA binding (GO:0003690),165/651,0.0004359144734648628,0.0117811622170635,0,0,1.3734286220161926,10.627679257312836,FOXA1;RORC;IFIT5;RORB;HOXA13;DUX4;NR3C2;FOXQ1;SOX18;PITX1;MNX1;PKNOX2;ZBP1;HES6;NKX6-3;NKX6-2;MSX2;OSR1;BHLHA15;OVOL1;POU3F1;ISL2;ARGFX;HOXB9;ZSCAN23;HOXB1;LMX1B;HOXB8;HOXB7;HDGFL3;DLX3;DLX6;ARX;GATA6;GATA5;BHLHE22;BHLHE23;HOXB13;GATA1;GLIS1;SCRT2;ZNF704;ALX3;HOXC4;ALX1;HOXC9;MSC;HOXC8;TFAP2A;EGR1;TFAP2C;EGR3;EGR4;BCL11B;PYHIN1;ESRRG;H1-1;H1-0;POU2F3;H1-3;SOX30;ISX;PHOX2A;NR4A1;LIN28B;H1-8;TLX2;LHX1;DMRTC2;ZSCAN4;LHX6;LHX5;SP9;LHX9;VSX1;ZSCAN1;MESP2;BARHL1;THRB;ONECUT2;FOXE1;ONECUT3;SYCP1;ONECUT1;SIX1;TFCP2L1;NR2E1;HOXC12;HOXC11;MEOX1;GLI2;DMBX1;HEY1;SIX4;HNF4A;SIX2;HEY2;ZIC1;SIX3;ZNF385D;TEAD1;NKX3-2;NKX3-1;VENTX;KLF11;EMX2;KLF12;POU1F1;PROP1;MSGN1;FOXL2;ETV1;PROX1;OLIG2;KLF14;KLF15;PAX2;ETV7;NR5A2;PAX9;PPARG;IRF6;FOXC2;HLF;CEBPD;LEF1;BARX2;TBXT;HSFY1;EGFR;ATOH7;CUX2;GSC;TBX20;NOTO;HES1;HES2;HES5;SPDEF;DRGX;IRX1;ARNT2;FOXB1;GSX1;DMRT1;CDX2;GSX2;UNCX;LBX1;MEIS3;POU4F1;VAX2;TBX3;TBX18;POU4F3;TBX2;FOXR1;TBX15;GFI1B;DPRX;NFIB;BCL6B;NEUROG1;MIXL1;FOXA2
GO_Molecular_Function_2021,ion gated channel activity (GO:0022839),13/26,0.0005979162935261743,0.0157451290628559,0,0,4.009781790820165,29.76084020110168,TMEM63C;PKD2L1;ANO7;ANO4;ANO5;ANO2;ANO1;KCNT1;KCNT2;CLCA2;TRPM5;CLCA4;TRPM4
